Food,Unit,ServingsPerUnit,Type,Notes,Weight per serving (g),Kcal_per_serv,Prot_per_serv (g),Carb_per_serv (g),Fat_per_serv (g),Source
無糖豆漿,g,0.005,豆魚蛋肉類（低脂）,可食部分約190g=1份(低脂),190.0,55.0,7.0,0.0,3.0,食物代換表 2019
麵腸,g,0.029,豆魚蛋肉類（低脂）,可食部分約35g=1份(低脂),35.0,55.0,7.0,0.0,3.0,食物代換表 2019
麵丸,g,0.025,豆魚蛋肉類（低脂）,可食部分約40g=1份(低脂),40.0,55.0,7.0,0.0,3.0,食物代換表 2019
烤麩,g,0.029,豆魚蛋肉類（低脂）,可食部分約35g=1份(低脂),35.0,55.0,7.0,0.0,3.0,食物代換表 2019
虱目魚、烏魚、肉鯽、鹹馧魚、鮭魚,g,0.029,豆魚蛋肉類（中脂）,可食部分約35g=1份(中脂),35.0,75.0,7.0,0.0,5.0,食物代換表 2019
魚肉鬆 (+10公克 碳水化合物),g,0.04,豆魚蛋肉類（中脂）,可食部分約25g=1份(中脂),25.0,75.0,7.0,0.0,5.0,食物代換表 2019
鱈魚、比目魚,g,0.02,豆魚蛋肉類（中脂）,可食部分約50g=1份(中脂),50.0,75.0,7.0,0.0,5.0,食物代換表 2019
虱目魚丸、花枝丸 (+7公克 碳水化合物),g,0.02,豆魚蛋肉類（中脂）,可食部分約50g=1份(中脂),50.0,75.0,7.0,0.0,5.0,食物代換表 2019
旗魚丸、魚丸(包肉) (+7公克 碳水化合物),g,0.017,豆魚蛋肉類（中脂）,可食部分約60g=1份(中脂),60.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬大排、豬小排,g,0.029,豆魚蛋肉類（中脂）,可食部分約35g=1份(中脂),35.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬後腿肉、豬前腿肉、羊肉、豬腳,g,0.029,豆魚蛋肉類（中脂）,可食部分約35g=1份(中脂),35.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬肉鬆 (+5公克 碳水化合物) 、肉脯,g,0.05,豆魚蛋肉類（中脂）,可食部分約20g=1份(中脂),20.0,75.0,7.0,0.0,5.0,食物代換表 2019
低脂培根,g,0.025,豆魚蛋肉類（中脂）,可食部分約40g=1份(中脂),40.0,75.0,7.0,0.0,5.0,食物代換表 2019
雞翅、雞排,g,0.025,豆魚蛋肉類（中脂）,可食部分約40g=1份(中脂),40.0,75.0,7.0,0.0,5.0,食物代換表 2019
雞爪,g,0.033,豆魚蛋肉類（中脂）,可食部分約30g=1份(中脂),30.0,75.0,7.0,0.0,5.0,食物代換表 2019
鴨賞,g,0.04,豆魚蛋肉類（中脂）,可食部分約25g=1份(中脂),25.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬舌,g,0.025,豆魚蛋肉類（中脂）,可食部分約40g=1份(中脂),40.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬肚,g,0.02,豆魚蛋肉類（中脂）,可食部分約50g=1份(中脂),50.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬小腸,g,0.018,豆魚蛋肉類（中脂）,可食部分約55g=1份(中脂),55.0,75.0,7.0,0.0,5.0,食物代換表 2019
豬腦,g,0.017,豆魚蛋肉類（中脂）,可食部分約60g=1份(中脂),60.0,75.0,7.0,0.0,5.0,食物代換表 2019
雞蛋,g,0.018,豆魚蛋肉類（中脂）,可食部分約55g=1份(中脂),55.0,75.0,7.0,0.0,5.0,食物代換表 2019
豆枝 (+5公克油脂 +30公克碳水化合物),g,0.017,豆魚蛋肉類（中脂）,可食部分約60g=1份(中脂),60.0,75.0,7.0,0.0,5.0,食物代換表 2019
百頁結,g,0.02,豆魚蛋肉類（中脂）,可食部分約50g=1份(中脂),50.0,75.0,7.0,0.0,5.0,食物代換表 2019
油豆腐,g,0.018,豆魚蛋肉類（中脂）,可食部分約55g=1份(中脂),55.0,75.0,7.0,0.0,5.0,食物代換表 2019
豆豉,g,0.029,豆魚蛋肉類（中脂）,可食部分約35g=1份(中脂),35.0,75.0,7.0,0.0,5.0,食物代換表 2019
五香豆干,g,0.029,豆魚蛋肉類（中脂）,可食部分約35g=1份(中脂),35.0,75.0,7.0,0.0,5.0,食物代換表 2019
小方豆干,g,0.025,豆魚蛋肉類（中脂）,可食部分約40g=1份(中脂),40.0,75.0,7.0,0.0,5.0,食物代換表 2019
黃豆干,g,0.014,豆魚蛋肉類（中脂）,可食部分約70g=1份(中脂),70.0,75.0,7.0,0.0,5.0,食物代換表 2019
傳統豆腐,g,0.013,豆魚蛋肉類（中脂）,可食部分約80g=1份(中脂),80.0,75.0,7.0,0.0,5.0,食物代換表 2019
素獅子頭,g,0.02,豆魚蛋肉類（中脂）,可食部分約50g=1份(中脂),50.0,75.0,7.0,0.0,5.0,食物代換表 2019
素火腿,g,0.025,豆魚蛋肉類（中脂）,可食部分約40g=1份(中脂),40.0,75.0,7.0,0.0,5.0,食物代換表 2019
素油雞,g,0.018,豆魚蛋肉類（中脂）,可食部分約55g=1份(中脂),55.0,75.0,7.0,0.0,5.0,食物代換表 2019
素香鬆,g,0.04,豆魚蛋肉類（中脂）,可食部分約25g=1份(中脂),25.0,75.0,7.0,0.0,5.0,食物代換表 2019
秋刀魚,g,0.029,豆魚蛋肉類（高脂）,可食部分約35g=1份(高脂),35.0,120.0,7.0,0.0,10.0,食物代換表 2019
牛肉條,g,0.025,豆魚蛋肉類（高脂）,可食部分約40g=1份(高脂),40.0,120.0,7.0,0.0,10.0,食物代換表 2019
豬肉酥 (+5公克 碳水化合物),g,0.05,豆魚蛋肉類（高脂）,可食部分約20g=1份(高脂),20.0,120.0,7.0,0.0,10.0,食物代換表 2019
雞心,g,0.022,豆魚蛋肉類（高脂）,可食部分約45g=1份(高脂),45.0,120.0,7.0,0.0,10.0,食物代換表 2019
素雞,g,0.025,豆魚蛋肉類（高脂）,可食部分約40g=1份(高脂),40.0,120.0,7.0,0.0,10.0,食物代換表 2019
素魚,g,0.029,豆魚蛋肉類（高脂）,可食部分約35g=1份(高脂),35.0,120.0,7.0,0.0,10.0,食物代換表 2019
素雞塊 (+7公克 碳水化合物),g,0.02,豆魚蛋肉類（高脂）,可食部分約50g=1份(高脂),50.0,120.0,7.0,0.0,10.0,食物代換表 2019
百頁豆腐,g,0.014,豆魚蛋肉類（高脂）,可食部分約70g=1份(高脂),70.0,120.0,7.0,0.0,10.0,食物代換表 2019
麵筋泡,g,0.067,豆魚蛋肉類（高脂）,可食部分約15g=1份(高脂),15.0,120.0,7.0,0.0,10.0,食物代換表 2019
豬蹄膀,g,0.025,豆魚蛋肉類（高脂）,可食部分約40g=1份(高脂),40,120.0,7.0,0.0,10.0,食物代換表 2019
梅花肉,g,0.029,豆魚蛋肉類（高脂）,可食部分約35g=1份(高脂),35,120.0,7.0,0.0,10.0,食物代換表 2019
牛腩 ,g,0.025,豆魚蛋肉類（高脂）,可食部分約40g=1份(高脂),40,120.0,7.0,0.0,10.0,食物代換表 2019
豬大腸,g,0.01,豆魚蛋肉類（高脂）,可食部分約100g=1份(高脂),100,120.0,7.0,0.0,10.0,食物代換表 2019
香腸、蒜味香腸、五花臘肉 ,g,0.025,豆魚蛋肉類（高脂）,可食部分約40g=1份(高脂),40,120.0,7.0,0.0,10.0,食物代換表 2019
熱狗、五花肉,g,0.02,豆魚蛋肉類（高脂）,可食部分約50g=1份(高脂),50,120.0,7.0,0.0,10.0,食物代換表 2019
素肉燥 (+10 公克 碳水化合物),g,0.015,豆魚蛋肉類（高脂）,可食部分約65g=1份(高脂),65,120.0,7.0,0.0,10.0,食物代換表 2019
燒餅(+1/2茶匙油),個,4.0,全穀雜糧類,1/4 個=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
米、黑米、小米、糯米等,米杯,8.0,全穀雜糧類,1/8 杯(米杯)=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
油條(+3茶匙油),根,1.5,全穀雜糧類,2/3 根=1份，≈40g,40.0,70.0,2.0,15.0,0.0,食物代換表 2019
糙米、什穀米、胚芽米,米杯,8.0,全穀雜糧類,1/8 杯(米杯)=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
甜不辣,g,0.014,全穀雜糧類,70g=1份,70.0,70.0,2.0,15.0,0.0,食物代換表 2019
白飯,碗,4.0,全穀雜糧類,1/4 碗=1份，≈40g,40.0,70.0,2.0,15.0,0.0,食物代換表 2019
馬鈴薯(3個/斤),個,2.0,全穀雜糧類,1/2 個(中)=1份，≈90g,90.0,70.0,2.0,15.0,0.0,食物代換表 2019
白年糕,份,1.0,全穀雜糧類,≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
蕃薯(4個/斤),個,2.0,全穀雜糧類,1/2 個(小)=1份，≈55g,55.0,70.0,2.0,15.0,0.0,食物代換表 2019
芋頭糕,份,1.0,全穀雜糧類,≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
山藥,份,1.0,全穀雜糧類,1 塊=1份，≈80g,80.0,70.0,2.0,15.0,0.0,食物代換表 2019
蘿蔔糕 6x8x1.5 公分,份,1.0,全穀雜糧類,1 塊=1份，≈50g,50.0,70.0,2.0,15.0,0.0,食物代換表 2019
芋頭(滾刀塊 3-4塊),份,1.0,全穀雜糧類,1/5 個中的芋頭=1份，≈55g,55.0,70.0,2.0,15.0,0.0,食物代換表 2019
豬血糕,份,1.0,全穀雜糧類,≈35g,35.0,70.0,2.0,15.0,0.0,食物代換表 2019
荸薺,粒,0.125,全穀雜糧類,8 粒=1份，≈100g,100.0,70.0,2.0,15.0,0.0,食物代換表 2019
蓮藕,g,0.01,全穀雜糧類,100g=1份,100.0,70.0,2.0,15.0,0.0,食物代換表 2019
大麥、小麥、蕎麥,份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
玉米或玉米粒,根,1.5,全穀雜糧類,2/3 根=1份，≈85g,85.0,70.0,2.0,15.0,0.0,食物代換表 2019
麥粉,湯匙,0.25,全穀雜糧類,4 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
爆米花(不加奶油),杯,1.0,全穀雜糧類,1 杯=1份，≈15g,15.0,70.0,2.0,15.0,0.0,食物代換表 2019
麥片,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
薏仁,湯匙,0.667,全穀雜糧類,1 1/2 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵粉,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蓮子(乾),粒,0.025,全穀雜糧類,40 粒=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵條(乾),份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
栗子(乾),粒,0.333,全穀雜糧類,3 粒 (大)=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵條(濕),份,1.0,全穀雜糧類,≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
菱角,粒,0.125,全穀雜糧類,8 粒=1份，≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
南瓜,g,0.012,全穀雜糧類,85g=1份,85.0,70.0,2.0,15.0,0.0,食物代換表 2019
拉麵,g,0.04,全穀雜糧類,≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
豌豆仁,g,0.014,全穀雜糧類,70g=1份,70.0,70.0,2.0,15.0,0.0,食物代換表 2019
油麵,碗,2.0,全穀雜糧類,1/2 碗=1份，≈45g,45.0,70.0,2.0,15.0,0.0,食物代換表 2019
皇帝豆,g,0.015,全穀雜糧類,65g=1份,65.0,70.0,2.0,15.0,0.0,食物代換表 2019
鍋燒麵(熟),份,1.0,全穀雜糧類,≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
通心粉(乾),杯,3.0,全穀雜糧類,1/3 杯=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
紅豆、綠豆、花豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
義大利麵(乾)、全麥,份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蠶豆、刀豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵線(乾),份,1.0,全穀雜糧類,≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
鷹嘴豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
餃子皮,張,0.333,全穀雜糧類,3 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
餛飩皮,張,1.0,全穀雜糧類,3-7 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
春捲皮,張,0.667,全穀雜糧類,1 1/2 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
藕粉,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
饅頭,個,3.0,全穀雜糧類,1/3 個 (中)=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
西谷米(粉圓),湯匙,0.667,全穀雜糧類,1 1/2 湯匙=1份，≈15g,15.0,70.0,2.0,15.0,0.0,食物代換表 2019
米苔目(濕),g,0.02,全穀雜糧類,50g=1份,50.0,70.0,2.0,15.0,0.0,食物代換表 2019
吐司、全麥吐司,片,1.0,全穀雜糧類,1/2~1/3 片=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
米粉(乾),g,0.05,全穀雜糧類,20g=1份,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
餐包,個,1.0,全穀雜糧類,1 個(小)=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
漢堡麵包,個,2.0,全穀雜糧類,1/2 個=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
菠蘿麵包 (+1 茶匙油),個,3.0,全穀雜糧類,1/3 個=1份，≈25g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
奶酥麵包 (+1 茶匙油),個,3.0,全穀雜糧類,1/3 個=1份，≈25g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
芋圓、地瓜圓(冷凍),g,0.033,全穀雜糧類,30g=1份,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
河粉(濕),g,0.04,全穀雜糧類,25g=1份,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
越南春捲皮(乾),g,0.05,全穀雜糧類,20g=1份,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蘇打餅干,片,0.333,全穀雜糧類,3 片=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蛋餅皮、蔥油餅皮(冷凍),g,0.029,全穀雜糧類,35g=1份,35.0,70.0,2.0,15.0,0.0,食物代換表 2019
燙青菜,盤,1,蔬菜類,"約100g=1盤, 無油",100.0,25.0,1.0,5.0,0.0,
燙青菜淋油蔥酥2茶匙,盤,1,蔬菜類,"約100g=1盤, 油2份",100.0,115.0,1.0,5.0,10.0,
炒青菜,盤,1,蔬菜類,"約100g=1盤, 油3份",100.0,180.0,1.0,10.0,15.0,
燙青菜加肉燥1大匙,盤,1,蔬菜類,"約100g=1盤, 肉燥1大匙",100.0,215.0,6.0,14.0,15.0,
黃豆芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
胡瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
葫蘆瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
蒲瓜（扁蒲）,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
木耳,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
茭白筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
綠豆芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
洋蔥,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
甘藍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
山東白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
包心白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
翠玉白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芥菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
萵苣,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
冬瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
玉米筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
小黃瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
苦瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
甜椒(青椒),g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
澎湖絲瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芥蘭菜嬰,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
